x,y,labels
13.467741935483872,27.4863312721213,4.0
10.483870967741936,26.453429921086332,4.0
8.971774193548388,27.5689633802041,4.0
7.80241935483871,28.725812893363262,4.0
5.665322580645162,28.560548677197666,4.0
5.786290322580646,26.701326245334727,4.0
3.669354838709678,27.321067055955705,4.0
4.294354838709678,26.370797813003538,4.0
2.379032258064516,27.692911542328293,4.0
2.701612903225807,26.90790651554172,4.0
2.701612903225807,26.90790651554172,4.0
3.104838709677419,26.370797813003538,4.0
3.790322580645162,25.379212516009968,4.0
4.435483870967742,24.511575381140595,4.0
5.685483870967742,24.71815565134759,4.0
9.556451612903226,22.404456625029262,4.0
8.004032258064518,25.131316191761577,4.0
11.108870967741936,21.578135544201288,4.0
12.3991935483871,19.96680943658674,4.0
15.58467741935484,16.454944843067853,4.0
16.55241935483871,18.562063599179186,4.0
15.665322580645164,23.933150624561016,4.0
20.24193548387097,19.181804409800165,4.0
19.092741935483872,20.751814463373314,4.0
19.435483870967744,17.281265923895827,4.0
23.06451612903226,12.695183925300572,4.0
23.084677419354843,18.231535166847998,4.0
24.153225806451616,14.926250843536103,4.0
21.47177419354839,16.207048518819462,4.0
24.516129032258068,11.166489925768822,4.0
25.56451612903226,17.653110410268415,4.0
25.322580645161295,18.1489030587652,4.0
21.713709677419356,24.346311164975003,4.0
20.120967741935488,12.736499979341971,4.0
18.588709677419356,19.305752571924362,4.0
17.197580645161292,25.379212516009968,4.0
14.233870967741936,25.213948299844372,4.0
13.951612903225808,23.189461651815837,4.0
11.20967741935484,27.5276473261627,4.0
8.951612903225808,25.461844624092766,4.0
10.28225806451613,23.39604192202283,4.0
12.43951612903226,25.172632245802976,4.0
15.060483870967744,19.96680943658674,4.0
19.05241935483871,27.6102794342455,4.0
18.145161290322584,16.66152511327485,4.0
22.13709677419355,21.619451598242687,4.0
20.766129032258068,27.031854677665915,4.0
23.145161290322584,25.544476732175564,4.0
26.008064516129036,13.645453168252743,4.0
25.46370967741936,10.62938122323064,4.0
24.818548387096776,9.018055115616091,4.0
